,HPI_Rank,Country,Region,Average_Life_Expectancy,Average_Wellbeing,Happy_Life_Years,Footprint,Inequality_of_Outcomes,IA_LifeExpectancy,IA_Wellbeing,HPI_Index,GDPpercapita,Population,GINI_Index
0,110,Afghanistan,Middle East and North Africa,59.668,3.8,12.396023808740251,0.79,0.426557441321005,38.348817624915156,3.3904943176737405,20.225349770957084,690.8426290149556,29726803,Data unavailable
1,13,Albania,Post-communist,77.347,5.5,34.414736010872105,2.21,0.16513371734395715,69.67115927983652,5.097650400487446,36.76687443910996,4247.485436815021,2900489,28.96
2,30,Algeria,Middle East and North Africa,74.313,5.6,30.469461311230717,2.12,0.2448617478895881,60.47454459360247,5.196449185598303,33.30054278861537,5583.616159501314,37439427,Data unavailable
3,19,Argentina,Americas,75.92699999999999,6.5,40.16667387457994,3.14,0.1642383010777108,68.3495831090017,6.034707039597872,35.190243642294554,14357.411589390273,42095224,42.49
4,73,Armenia,Post-communist,74.446,4.3,24.01876006070231,2.23,0.21664810329631146,66.92168232301029,3.74713959801918,25.666417288436907,3565.5175749253985,2978339,30.48
5,105,Australia,Asia Pacific,82.052,7.2,53.06949770952637,9.31,0.08067824767105994,78.5600237730927,6.9133349323794056,21.228966308259448,67646.10385296255,22728254,Data unavailable
6,43,Austria,Europe,81.00399999999999,7.4,54.4362296172169,6.06,0.07129350512862645,78.02278579332881,7.135020328712086,30.478224326612512,48324.25403676058,8429991,30.48
7,8,Bangladesh,Asia Pacific,70.843,4.7,23.289481686756467,0.72,0.2736572489916234,56.624648744699115,4.271012943248788,38.390694412040204,858.9333625876206,155257387,Data unavailable
8,102,Belarus,Post-communist,70.874,5.7,34.014327399277356,5.09,0.13190987750517025,66.74485151737974,5.254227139247806,21.71891608161791,6721.834907739675,9464000,26.01
9,87,Belgium,Europe,80.429,6.9,49.537808079218166,7.44,0.08537280272038357,77.21074725167702,6.573976019303335,23.72652342708588,44731.21947946376,11128246,27.59
10,27,Belize,Americas,69.795,6.142857142857168,34.176812958766234,2.54818,0.18012316717867774,61.66504682999505,5.700386150670058,33.839843152010175,4674.293376734075,336707,Data unavailable
11,137,Benin,Sub Saharan Africa,59.167,3.2,9.935781015673806,1.41,0.44411329150235457,37.26979931925182,2.8239614471712557,13.422364785112695,807.6884510172321,10049792,Data unavailable
12,56,Bhutan,Asia Pacific,68.748,5.6,27.412124972715244,2.32167,0.2655913919503828,54.52441464176365,5.1855501903201535,28.623232694458203,2452.151587937413,743711,38.65
13,92,Bolivia,Americas,67.45,6.0,25.556965534075747,2.96,0.3498051385444441,47.85815272165475,5.4982034505481705,23.321492640124323,2645.29027433174,10238762,46.7
14,76,Bosnia and Herzegovina,Post-communist,76.175,4.8,28.638083217409843,3.12,0.1860445575221501,71.07562838316008,4.18729562802029,25.285496892917728,4494.640811977125,3828419,Data unavailable
15,126,Botswana,Sub Saharan Africa,64.249,4.8,21.280916438500835,3.83,0.2839128529523172,50.79681579185376,4.347474058927432,16.60508318606135,6935.5936526659325,2132822,Data unavailable
16,23,Brazil,Americas,73.907,6.9,38.964295710154644,3.11,0.21632152997386367,63.27166723853446,6.316308037442293,34.34497524764865,12157.308217647336,202401584,52.67
17,109,Bulgaria,Post-communist,73.913,4.2,23.980292568101433,3.32,0.1928342225056908,68.136289796767,3.677514376223407,20.440789274271477,7333.3550730394545,7305888,36.01
18,119,Burkina Faso,Sub Saharan Africa,57.955,4.0,12.579612792510288,1.21,0.4324926106324752,36.46481723789138,3.607849235741492,17.886187937472513,673.0267834254067,16590813,Data unavailable
19,131,Burundi,Sub Saharan Africa,55.803000000000004,3.4333333333332803,9.490206596028287,0.8,0.4774271202379178,33.012807924643475,3.0327591350005085,15.576158801048253,244.1964862315103,10124572,Data unavailable
20,74,Cambodia,Asia Pacific,67.467,3.9,18.211074563845848,1.21,0.27534974234081994,54.15956120751568,3.5205402996167394,25.649373163663057,946.4766787104164,14832255,30.76
21,124,Cameroon,Sub Saharan Africa,54.61,4.2,11.570008795661796,1.17,0.4727515627353425,33.0940409887436,3.6541550217161154,16.698237171638215,1222.1921422043586,21659488,Data unavailable
22,85,Canada,Americas,81.654,7.4,53.859876692288466,8.17,0.08828664244333384,77.78667128035971,7.082104239930262,23.941833842035646,52737.77716467785,34751476,Data unavailable
23,140,Chad,Sub Saharan Africa,50.808,4.0,9.580599051414259,1.46,0.5073423160211841,27.318494286760544,3.665055818208328,12.777156207493999,972.679345110246,12715465,Data unavailable
24,35,Chile,Americas,81.05,6.6,44.65574620940667,4.36,0.14306822168319042,74.9174523728136,6.118714687385134,31.66552155295386,15253.330825962032,17388437,Data unavailable
25,72,China,Asia Pacific,75.365,5.1,30.625050818135147,3.38,0.17499423783093854,68.64677442560354,4.619305931112665,25.726420155417852,6264.643877939926,1350695000,Data unavailable
26,3,Colombia,Americas,73.673,6.4,35.07089278089951,1.87,0.23504395279537654,63.10066889932085,5.715981941744548,40.695011020389096,7885.061292302139,46881018,53.54
27,93,Comoros,Sub Saharan Africa,62.598,4.0,15.441979288589225,1.03,0.3559641151715294,43.28654057501722,3.725440544145545,23.10098881453457,750.3146086005014,733661,Data unavailable
28,1,Costa Rica,Americas,79.07600000000001,7.3,48.17479217977501,2.84,0.14556769442369108,72.61555149886333,6.792279883417421,44.714070977357395,9733.396930540235,4654148,48.61
29,135,Cote d'Ivoire,Sub Saharan Africa,50.83,3.8249999999999886,10.270453558495458,1.27,0.4468447766769828,30.63832321729613,3.5102138339299973,14.438557469478425,1281.3828651673055,21102641,Data unavailable
30,47,Croatia,Post-communist,76.961,6.0,39.581765139195795,3.92,0.11767176605335002,73.4652575123241,5.54587560260387,30.164198527193108,13235.977570174904,4267558,Data unavailable
31,41,Cyprus,Europe,79.789,6.2,42.279155600808004,4.21,0.12087813100365633,76.57364946545387,5.67942605359782,30.711846428980603,28868.273816164503,1129303,34.31
32,64,Czech Republic,Post-communist,78.185,6.3,43.435273187947814,5.19,0.09397013489034224,75.45693378131439,5.914354468948544,27.284099088088787,19640.92865970381,10510785,26.13
33,32,Denmark,Europe,79.832,7.5,54.40601382645221,5.51,0.07106088414225402,76.7637367109283,7.2455176110451855,32.672582087699986,57636.12530953933,5591572,29.08
34,127,Djibouti,Sub Saharan Africa,61.31100000000001,4.4,15.086060103780675,2.19,0.4165417195979653,41.36546710850486,3.8050726311862837,16.42836847003932,1586.7801332842926,853069,45.13
35,45,Dominican Republic,Americas,73.097,4.8,23.736781550389058,1.53,0.296085915823961,60.810738991021296,4.061441146593252,30.30721303586123,5967.000984055199,10155036,45.68
36,10,Ecuador,Americas,75.449,6.0,34.347894178996484,2.17,0.21887883767862826,64.09124717791519,5.5172723113704505,37.042715714114095,5702.168287893772,15419493,46.57
37,86,Egypt,Middle East and North Africa,70.742,4.2,21.804224752382826,2.15,0.2335525716784869,61.25635172845912,3.717558983950192,23.781020583811703,3226.131378819984,85660902,Data unavailable
38,17,El Salvador,Americas,72.48100000000001,5.9,32.23889500303016,2.07,0.22300252863380746,62.53922269234876,5.313042801873522,35.635177653287265,3921.720395116591,6072233,41.8
39,118,Estonia,Post-communist,76.2,5.4,34.967706837696035,6.86,0.12232526551435985,72.56052938903271,4.9771632427028205,17.89502178920171,17490.993130040864,1322696,33.15
40,66,Ethiopia,Sub Saharan Africa,62.816,4.6,17.822024773701944,1.02,0.3592820175826885,43.76662429258846,4.2301130278299865,26.658749963172127,469.792303889824,92191211,Data unavailable
41,37,Finland,Europe,80.421,7.4,54.58650550782182,5.87,0.062135036660407435,77.64925152167987,7.1879364174939075,31.293363951496872,47415.55987113512,5413971,27.12
42,44,France,Europe,81.767,6.6,48.12586724112815,5.14,0.08524287318595743,78.46127039993767,6.291764599347315,30.413506058643836,40850.35237349482,65639975,33.1
43,120,Gabon,Sub Saharan Africa,63.335,4.0,15.434489533630984,2.02,0.3621621243722718,45.83826307423179,3.525217505511617,17.496847728791643,10642.432252301329,1613489,Data unavailable
44,40,Georgia,Post-communist,74.555,4.3,24.692910089202858,1.58,0.19678043498831854,66.88981357385862,3.8496347249389284,31.076034130434486,4142.8691753654975,3825000,41.35
45,49,Germany,Europe,80.57300000000001,6.7,48.2278530509385,5.3,0.08390288211646281,77.60929949945833,6.372239497333617,29.815503585510626,44010.93138698137,80425823,Data unavailable
46,104,Ghana,Sub Saharan Africa,61.012,5.1,18.759836922098287,1.97,0.3756452030003017,42.242460467995365,4.599045266488995,21.43466357444843,1641.8259218243936,25544565,Data unavailable
47,89,Greece,Europe,80.505,5.1,33.31529512237451,4.38,0.15871124133041045,77.56557026609038,4.453168481198562,23.620999621209307,22242.681934770997,11045011,36.68
48,26,Guatemala,Americas,71.355,5.9,29.593694812888913,1.89,0.2748123223815735,59.23947029949726,5.153658906833973,34.23635156813152,3278.629082714533,15368759,Data unavailable
49,129,Guinea,Sub Saharan Africa,57.657,3.7,11.807037944832027,1.41,0.4189590531268133,37.22514654732297,3.32984553803518,15.85358084852303,487.3457142092367,11628767,33.73
50,57,Haiti,Americas,62.077,4.4,16.533380310716396,0.61,0.3698606637216564,42.90729618457761,4.011334142413934,28.5671847743462,766.8722334253354,10288828,60.79
51,65,Honduras,Americas,72.755,4.6,22.13166196165889,1.68,0.3110812907929936,58.49792904802147,3.9413786935459822,27.158770789604503,2395.073441921285,7736131,57.4
52,123,Hong Kong,Asia Pacific,83.572,5.5,40.105034964678296,8.82345,0.09953677755755674,81.26281718523171,5.093280453215673,16.799684968318704,36707.77422825544,7154600,Data unavailable
53,69,Hungary,Post-communist,74.859,4.7,28.730391504077808,2.92,0.15154633173027862,70.94843800219203,4.207529527427952,26.383181515417213,12819.71205880318,9920362,30.55
54,39,Iceland,Europe,82.198,7.6,58.03139507386646,6.425540806196049,0.05086355734774287,79.82136760229423,7.428212637674072,31.078724738256604,44258.842793200485,320716,26.94
55,50,India,Asia Pacific,67.26899999999999,4.6,20.445998978049353,1.16,0.31313715346274057,51.128277421930726,4.157015728011252,29.175464503512927,1449.6648745250536,1263589639,Data unavailable
56,16,Indonesia,Asia Pacific,68.507,5.4,28.43888369016399,1.58,0.20682229939190336,57.180063121096595,5.131621015363279,35.71609257877622,3700.523538094472,248037853,Data unavailable
57,84,Iran,Middle East and North Africa,74.78399999999999,4.6,25.40027471297007,2.79,0.23090590830397506,66.87902255740241,3.9559981535097295,23.99204174290145,7710.513313884459,76156975,Data unavailable
58,67,Iraq,Middle East and North Africa,68.96,4.7,22.777091540297967,1.88,0.2701173691957713,55.63140391238248,4.2523413503603065,26.52129156969037,6649.248155670921,32780975,29.54
59,48,Ireland,Europe,80.518,7.0,50.349742841773576,5.57,0.08493929169455543,77.53378917791636,6.651964417679513,30.016529573152514,48976.92975338484,4586897,32.52
60,54,Israel,Middle East and North Africa,81.934,7.1,52.49484451199482,6.22,0.07621635530667135,78.74178530333913,6.824762111429595,28.831475554435574,32818.85837688284,7910500,Data unavailable
61,60,Italy,Europe,82.696,5.8,41.103442522496685,4.61,0.11659878820922885,80.2083493274628,5.282638701484557,28.07652469913837,34844.498092848386,59539717,35.16
62,11,Jamaica,Americas,75.32600000000001,5.550000000000002,31.91674863940445,1.89,0.21146532161420667,66.3489949908275,4.968489058760624,36.88843514369528,5445.894717741392,2707805,Data unavailable
63,58,Japan,Asia Pacific,83.23899999999999,6.0,44.032621081780974,5.02,0.092846892002072,80.58536699592989,5.622151045892983,28.319348084202872,46679.26543223026,127561489,Data unavailable
64,114,Kazakhstan,Post-communist,68.60600000000001,5.8,31.726509348084377,5.55,0.17858788363688302,60.655871894547275,5.388629786221721,19.05043463617873,12120.305339701152,16791425,27.43
65,83,Kenya,Sub Saharan Africa,60.31,4.5,16.206627527521757,1.03,0.378988057509721,40.95583118114699,4.115153600147964,24.216351638353267,1184.923256043633,42542978,Data unavailable
66,31,Kyrgyzstan,Post-communist,69.73,5.2,28.725474919862545,1.91,0.1815324739653325,60.22157505988486,4.9280187503391035,33.077970385910284,1177.9747348784833,5607200,27.37
67,121,Latvia,Post-communist,73.607,5.1,31.15893273110976,6.29,0.1410633086819662,68.65860012610537,4.696296456682616,17.056728863774623,13775.261584628115,2034319,35.48
68,100,Lebanon,Middle East and North Africa,78.797,4.6,28.238392371731877,3.84,0.1890678949030738,73.08581282343782,4.021785723346592,21.897769325380796,9729.282192933908,4440728,Data unavailable
69,125,Lesotho,Sub Saharan Africa,48.946999999999996,4.9,13.353951727355454,1.66,0.4217579035622535,32.559874574176966,4.259407006200475,16.665136394471027,1158.8042220550205,2057331,Data unavailable
70,96,Liberia,Sub Saharan Africa,60.229,4.4,15.696023539355956,1.21,0.3836813508394975,40.29548882260986,4.053285636222945,22.18227922797879,414.1851554417438,4190155,Data unavailable
71,107,Lithuania,Post-communist,72.804,5.8,36.379300884055155,5.83,0.11270765888646578,68.82361435635559,5.443929482606331,21.036565698855487,14342.52347700176,2987773,35.15
72,139,Luxembourg,Europe,81.111,7.0,51.67788805674584,15.82,0.06783736347860274,78.97029422051496,6.702020177337994,13.15117419588626,105447.09324074301,530946,34.79
73,90,Macedonia,Post-communist,75.067,4.6,27.18877971874054,3.26,0.18086399923196206,69.38472610936728,4.076608698210642,23.39190792649336,4709.511627777382,2069270,Data unavailable
74,98,Malawi,Sub Saharan Africa,60.122,4.3,13.699083853226456,0.81,0.44538135024195,40.43996662634984,3.5455658484103414,22.130818438294174,270.08753128829153,15700436,Data unavailable
75,46,Malaysia,Asia Pacific,74.428,5.9,38.34259148299839,3.71,0.10184310668022352,69.45324535427501,5.6786882081407155,30.291713548418738,10834.659078367114,29021940,Data unavailable
76,53,Malta,Europe,80.223,6.0,40.842717926132714,4.36495628240579,0.12631623558708185,76.61915744092104,5.488669020137033,28.963071425003122,21176.30998278016,419455,Data unavailable
77,117,Mauritania,Sub Saharan Africa,62.602,4.7,17.959712402259893,2.54,0.3672992440938957,41.51752862263445,4.483869102177475,17.99806139469616,1282.7851012858614,3777067,Data unavailable
78,63,Mauritius,Sub Saharan Africa,73.965,5.5333333333333155,33.10871487827806,3.46,0.16526192412552088,66.74024228779724,5.118886968587455,27.384040089180452,9113.64064294,1255882,35.84
79,2,Mexico,Americas,76.411,7.3,44.262082983563566,2.89,0.18769899117079875,66.31196541352742,6.832880666251523,40.69729222257651,9703.371017178159,122070963,48.07
80,136,Mongolia,Asia Pacific,68.57,4.9,25.339305169851475,6.08,0.21908593831145265,56.870233386997,4.613690549561063,14.26947132605124,4377.238870104351,2808339,33.75
81,78,Montenegro,Post-communist,75.773,5.2,32.12535459782667,3.78,0.15586325413076085,71.82879279262949,4.630544521511556,25.12557535512183,6586.721279322201,620601,32.16
82,33,Morocco,Middle East and North Africa,73.389,5.0,26.693612150194696,1.68,0.24599902388745915,61.62909304023663,4.4893876338400505,32.65875156196943,2931.4001995337203,32984190,Data unavailable
83,88,Mozambique,Sub Saharan Africa,54.321000000000005,5.0,15.017337548920029,0.87,0.4269865386928798,34.54466273258008,4.505278351191951,23.706340603355304,564.8124630943172,25732928,Data unavailable
84,81,Myanmar,Asia Pacific,65.501,4.4,18.753245228617555,1.43,0.32273773955012874,48.44849296449804,4.028813931501022,24.736100400421357,1421.4973508006203,52543841,Data unavailable
85,103,Namibia,Sub Saharan Africa,64.014,4.685714285714283,21.3151960048023,2.48,0.2629791336883329,50.099227546323405,4.412650420643135,21.569233730322814,5679.958215208974,2291645,Data unavailable
86,42,Nepal,Asia Pacific,68.824,4.2,20.18548302956565,0.98,0.2714452229879465,55.308683696471775,3.80765935133546,30.512781538720787,685.4967585540123,27500515,Data unavailable
87,18,Netherlands,Europe,81.212,7.5,57.04078932580718,5.28,0.0432207012090508,78.18060001480403,7.454083276288858,35.315450932768506,49474.70560642203,16754962,27.99
88,38,New Zealand,Asia Pacific,81.417,7.2,52.65668921078947,5.6,0.08078593019712431,77.68578317421469,6.93621756536614,31.258339500078698,39504.96093886168,4408100,Data unavailable
89,7,Nicaragua,Americas,74.322,5.4,29.21113306397057,1.39,0.2471742066469597,63.43924629282587,4.762638558452184,38.68825826742374,1779.8670876131814,5877034,Data unavailable
90,122,Niger,Sub Saharan Africa,60.04600000000001,3.8,13.130707103910305,1.56,0.3976021350511935,38.87857831148365,3.5354176599230587,16.84656457402618,393.6434230449397,17635782,Data unavailable
91,95,Nigeria,Sub Saharan Africa,52.111999999999995,5.5,15.4966108181458,1.16,0.4423107369736009,30.853610793440012,5.180679398651117,22.24682583543039,2739.852189039064,168240403,Data unavailable
92,12,Norway,Europe,81.281,7.7,57.05352589885325,4.98,0.06855375489063066,78.60023000327509,7.416751748575879,36.827052382167366,101563.7026775972,5018573,25.9
93,106,Oman,Middle East and North Africa,76.3,6.9,44.46757542309202,7.52,0.13406474350208492,70.94494224494183,6.425953987170397,21.13942635719868,21533.807603292968,3545192,Data unavailable
94,36,Pakistan,Asia Pacific,65.704,5.1,19.526542894303528,0.79,0.3964602543419757,44.12995410749895,4.582836734790057,31.50010802376814,1266.3807581145093,177392252,Data unavailable
95,22,Palestine,Middle East and North Africa,72.55199999999999,4.6,24.45579116439115,1.18965810274744,0.2375788590637305,62.58536536351446,4.065644103237832,34.47194096324895,2782.905026430228,4046901,Data unavailable
96,6,Panama,Americas,77.215,6.9,42.076664665140854,2.79,0.18997897818301893,68.3256472798601,6.316308037442293,39.502577217060725,10138.521128886165,3743761,51.9
97,91,Paraguay,Americas,72.638,5.8,31.758605519123048,4.16,0.22390818452618036,59.357540123090075,5.5084457950550405,23.326222792340484,3858.036492274683,6379162,48.17
98,21,Peru,Americas,74.089,5.8,32.85649043703043,2.28,0.21201869489254208,63.54400660548589,5.328721781805063,34.55546153048449,6388.845097855656,30158768,45.11
99,20,Philippines,Asia Pacific,67.949,5.0,24.135570841393942,1.1,0.2631155169502518,56.92403533266531,4.398016009066634,34.991093666698816,2604.6559968370248,96017322,43.04
100,62,Poland,Post-communist,76.926,5.9,39.174920457809314,4.44,0.11145472798638208,72.9429430077262,5.528679836338791,27.471189416618916,13142.045994608621,38063164,32.39
101,79,Portugal,Europe,80.33,4.99,32.3153373708919,3.88,0.16338622556737722,77.19162016311931,4.344433630842313,24.84739372834465,20577.40263758992,10514844,36.04
102,115,Republic of Congo,Sub Saharan Africa,60.951,3.9,13.58487980996868,1.29,0.4005897230083906,41.9877438970684,3.3934940143883066,18.8127124351232,3191.1642988109397,4286188,Data unavailable
103,55,Romania,Post-communist,74.327,5.2,30.061180688803052,2.71,0.1943749328445968,68.09417923418536,4.572702310350644,28.801498535335398,8577.289214438186,20058035,27.33
104,116,Russia,Post-communist,69.51899999999999,5.6,31.732643401121177,5.69,0.15916383998781702,63.37341185760899,5.165303379588583,18.71017811503093,14078.8305693118,143201676,41.59
105,111,Rwanda,Sub Saharan Africa,63.056000000000004,3.3,12.366085086991696,0.87,0.3720886737197467,44.27551152599081,2.951039937055528,19.62837798317014,667.414582334439,10817350,Data unavailable
106,101,Senegal,Sub Saharan Africa,65.429,3.7,15.488388002798796,1.21,0.3281849565038694,49.0590337025115,3.3151466244846737,21.896045707219148,1019.2722302586932,13780108,Data unavailable
107,52,Serbia,Post-communist,74.495,5.2,30.257872413429524,2.7,0.19090621440897415,68.60392780264488,4.568570723839151,29.048312577987996,5659.380204036908,7199077,Data unavailable
108,133,Sierra Leone,Sub Saharan Africa,49.758,4.5,10.779305556582818,1.24,0.4986961448173316,28.182600521115788,3.9828633781934046,15.264649740643424,618.9472529300477,6043157,Data unavailable
109,59,Slovakia,Post-communist,75.872,5.9,37.8917422000579,4.06,0.12815477237595274,71.87107926995526,5.430236842343778,28.228896861344644,17207.27920648473,5407579,26.12
110,82,Slovenia,Post-communist,79.953,6.1,42.56742432774853,5.81,0.102227574031206,77.07022099931616,5.681254664134562,24.63884037073637,22477.597562782194,2057159,25.59
111,128,South Africa,Sub Saharan Africa,56.285,5.1,18.49334268019731,3.31,0.33274002892766563,41.79492336093158,4.582836734790057,15.868991671939176,7592.157996992682,52341695,Data unavailable
112,80,South Korea,Asia Pacific,81.34899999999999,6.0,42.173097594683405,5.69,0.11059418520693047,78.34418881841016,5.5411083873983005,24.79036034126133,24453.971912464447,50004441,Data unavailable
113,15,Spain,Europe,82.19200000000001,6.3,45.27161111493542,3.67,0.10149272883462236,79.3369699845252,5.864298709290062,35.95897673862395,28647.835242689183,46773055,35.89
114,28,Sri Lanka,Asia Pacific,74.601,4.2,24.94046395927673,1.32,0.16940555155864573,68.58829729011217,3.794311148759864,33.791776078166464,3350.6865743123462,20424000,38.58
115,75,Suriname,Americas,70.788,6.3,35.189164584619974,4.25,0.18925773878939384,61.184775619659774,5.909348892982696,25.447157038977338,9422.270994352311,528535,Data unavailable
116,132,Swaziland,Sub Saharan Africa,48.91,4.9,13.626125300929509,2.01,0.4104581212844579,31.8102826879232,4.441614634400233,15.536035220949787,3988.667162431416,1231694,Data unavailable
117,61,Sweden,Europe,81.847,7.6,57.4257867439223,7.25,0.05670734622290506,79.11979303864813,7.416135692486629,28.034925186771908,57134.07706824043,9519374,27.32
118,24,Switzerland,Europe,82.6,7.8,59.31552275218683,5.79,0.05986395257971468,79.43848915516536,7.624903986389022,34.330969622041906,83208.68654234995,7996861,31.64
119,113,Syria,Middle East and North Africa,70.385,3.2,14.72884351427399,1.51,0.3038245051938609,60.185271370893325,2.605305176409126,19.10037052237196,2079.9878638071536,21427155,Data unavailable
120,25,Tajikistan,Post-communist,69.01,4.5,22.175214323135986,0.91,0.2589634547460774,52.97565772709921,4.343979930015309,34.2495973970354,962.4391248535263,7930929,Data unavailable
121,97,Tanzania,Sub Saharan Africa,63.544,4.0,16.203255041552147,1.32,0.33287468564511724,47.6714350359625,3.5569989402154154,22.13837929393677,827.5288807690899,48645709,Data unavailable
122,9,Thailand,Asia Pacific,74.087,6.3,38.62476929883911,2.66,0.15000272865094133,66.349938596671,5.979426956504572,37.290104994685706,5917.9179338711965,67164130,39.26
123,138,Togo,Sub Saharan Africa,58.601000000000006,2.8666666666666605,8.970004928855618,1.13,0.42874239408036297,39.639758086522185,2.4209355269548363,13.233269200310195,580.4950617702481,6745581,Data unavailable
124,130,Trinidad and Tobago,Americas,70.116,6.4,34.354607699177386,7.92,0.21384003926161554,58.4432582474759,6.036338803558831,15.718346721557095,18322.32380098597,1341579,Data unavailable
125,71,Tunisia,Middle East and North Africa,74.64399999999999,4.5,25.161493552768174,2.34,0.22007923628343007,65.53990719181111,3.9971650238101137,26.19714113037088,4187.543530517621,10777500,Data unavailable
126,68,Turkey,Middle East and North Africa,74.72,5.3,31.17437833672453,3.33,0.1863940646767554,66.16181570817992,4.869893074036883,26.42456507822006,10646.035532616066,74099255,40.17
127,134,Turkmenistan,Post-communist,65.298,5.5,23.978165302944767,5.47,0.31107377276567794,48.328991055584204,5.119500136846307,14.608544238279483,6797.721166028337,5172941,Data unavailable
128,112,Uganda,Sub Saharan Africa,57.14,4.3,13.820559974923274,1.24,0.4138618152507493,36.757687031324906,3.917964809552094,19.419101693196374,656.3980727493342,35400620,42.37
129,70,Ukraine,Post-communist,70.317,5.0,28.263142360037765,2.84,0.16726418356261316,64.19296359436218,4.560895861923598,26.38316245478983,3855.4212801318,45593300,24.74
130,34,United Kingdom,Europe,80.392,6.9,49.09947035111565,4.94,0.09297391394456912,76.79000727006124,6.552046829357714,31.90928632304612,41294.51480086664,63700300,32.57
131,108,United States of America,Americas,78.807,7.0,46.84822446299704,8.22,0.12956425637462532,73.97922533505323,6.490673636557737,20.746377577545246,51456.65872803528,314112078,Data unavailable
132,14,Uruguay,Americas,76.891,6.4,39.4150588039493,2.91,0.17669974980691047,69.57997630892122,5.822767562349309,36.134279767439864,15127.644150516655,3396753,41.32
133,51,Uzbekistan,Post-communist,68.171,6.0,27.89009073806887,2.32,0.2982016707034703,51.582502812995386,5.564944463426149,29.12630723406001,1719.0361962415461,29774500,Data unavailable
134,4,Vanuatu,Asia Pacific,71.34100000000001,6.47,34.8957521535577,1.8626200000000002,0.2233318451974657,60.32132860314564,5.943032062175794,40.57009898803997,3158.420973527295,247498,Data unavailable
135,29,Venezuela,Americas,73.885,7.1,41.4945091842871,3.57,0.18927995099877384,65.4537333392851,6.497572241153996,33.56995966266243,12771.595036110702,29854238,Data unavailable
136,5,Vietnam,Asia Pacific,75.477,5.5,32.77024565769821,1.65,0.18592059113712697,64.79426489959809,5.215638976825295,40.30758930687456,1754.5479738641004,88809200,38.7
137,94,Yemen,Middle East and North Africa,63.34,4.1,15.204281681941175,1.03,0.38731270334468704,44.72121880043803,3.5578461205991636,22.75426850542089,1289.0340776366766,24882792,Data unavailable
138,77,Zambia,Sub Saharan Africa,58.409,5.0,16.67424775707576,0.99,0.4081216588739559,38.67416328060233,4.4695242371501775,25.22424646411198,1686.6180240526246,14786581,Data unavailable
139,99,Zimbabwe,Sub Saharan Africa,53.673,5.0,16.42862726743044,1.37,0.3660846085510043,36.91400528541143,4.608568013979293,22.112535398870587,850.8276939952349,14565482,Data unavailable
